X-SAMPA,IPA,Type,Description,Examples
R\,ʀ,Uppercase,uvular trill,French roi [R\wa]
S,ʃ,Uppercase,voiceless postalveolar fricative,English ship [SIp]
T,θ,Uppercase,voiceless dental fricative,English thin [TIn]
U,ʊ,Uppercase,near-close back rounded vowel,English foot [fUt]
U\,ʊ̈ or ʉ̞[3],Uppercase,near-close central rounded vowel,"English euphoria [jU\""fO@r\i@]"
V,ʌ,Uppercase,open-mid back unrounded vowel,Scottish English strut [str\Vt]
W,ʍ,Uppercase,voiceless labial-velar fricative,Scots when [WEn]
X,χ,Uppercase,voiceless uvular fricative,Klallam sχaʔqʷaʔ [sXa?q_wa?]
X\,ħ,Uppercase,voiceless pharyngeal fricative,Arabic <ح>ha’ [X\A:]
Y,ʏ,Uppercase,near-close front rounded vowel,German hübsch [hYpS]
Z,ʒ,Uppercase,voiced postalveolar fricative,"English vision [""vIZ@n]"
.,.,Uppercase,syllable break,
"""",ˈ,Uppercase,primary stress,
%,ˌ,Uppercase,secondary stress,
' (or _j),ʲ,Uppercase,palatalized,
:,ː,Uppercase,long,
:\,ˑ,Uppercase,half long,Estonian differentiates three vowel lengths
-,,Uppercase,separator,Polish trzy [t-S1] vs. czy [tS1] (affricate)
@,ə,Uppercase,schwa,"English arena [@""r\i:n@]"
@\,ɘ,Uppercase,close-mid central unrounded vowel,Paicĩ kɘ̄ɾɘ [k@\_M4@\_M]
{,æ,Uppercase,near-open front unrounded vowel,English trap [tr\{p]
},ʉ,Uppercase,close central rounded vowel,Swedish sju [x\}:]; AuE/NZE boot [b}:t]
1,ɨ,Uppercase,close central unrounded vowel,"Welsh tu [t1], American English rose's [""r\oUz1z]"
2,ø,Uppercase,close-mid front rounded vowel,"Danish købe [""k2:b@], French deux [d2]"
3,ɜ,Uppercase,open-mid central unrounded vowel,English nurse [n3:s] (RP) or [n3`s] (Gen.Am.)
3\,ɞ,Uppercase,open-mid central rounded vowel,Irish tomhail [t3\:l']
4,ɾ,Uppercase,alveolar flap,"Spanish pero [""pe4o], American English better [""bE4@`]"
5,ɫ,Uppercase,velarized alveolar lateral approximant; also see _e,"English milk [mI5k], Portuguese livro [""5iv4u]"
6,ɐ,Uppercase,near-open central vowel,"German besser [""bEs6], Australian English mud [m6d]"
7,ɤ,Uppercase,close-mid back unrounded vowel,"Estonian kõik [k7ik], Vietnamese mơ [m7_M]"
8,ɵ,Uppercase,close-mid central rounded vowel,Swedish buss [b8s]
9,œ,Uppercase,open-mid front rounded vowel,"French neuf [n9f], Danish drømme [dR9m@]"
&,ɶ,Uppercase,open front rounded vowel,Swedish skörd [x\&d`]
?,ʔ,Uppercase,glottal stop,"Cockney English bottle [""bQ?o]"
?\,ʕ,Uppercase,voiced pharyngeal fricative,Arabic ع (`ayn) [?\Ajn]
*,,Other,"undefined escape character, SAMPA's ""conjunctor""",
/,,Other,indeterminacy in French vowels,
<,,Other,"begin nonsegmental notation (e.g., SAMPROSA)",
<\,ʢ,Other,voiced epiglottal fricative,
>,,Other,end nonsegmental notation,
>\,ʡ,Other,epiglottal plosive,
^,ꜛ,Other,upstep,
!,ꜜ,Other,downstep,
!\,ǃ,Other,postalveolar click,
|,|,Other,minor (foot) group,
|\,ǀ,Other,dental click,
||,‖,Other,major (intonation) group,
|\|\,ǁ,Other,alveolar lateral click,
=\,ǂ,Other,palatal click,
-\,‿,Other,linking mark,
"_""",  ̈,Diacritic,centralized,
_+,  ̟,Diacritic,advanced,
_-,  ̠,Diacritic,retracted,
_/,̌,Diacritic,rising tone,
_0,  ̥,Diacritic,voiceless,
_<,,Diacritic,implosive (IPA uses separate symbols for implosives),
= (or _=),  ̩,Diacritic,syllabic,
_>,ʼ,Diacritic,ejective,
_?\,ˤ,Diacritic,pharyngealized,
_\,̂,Diacritic,falling tone,
_^,  ̯,Diacritic,non-syllabic,
_},  ̚,Diacritic,no audible release,
`,˞,Diacritic,"rhotacization in vowels, retroflexion in consonants",
~ (or _~),  ̃,Diacritic,nasalization,
_A,  ̘,Diacritic,advanced tongue root,
_a,  ̺,Diacritic,apical,
_B,  ̏,Diacritic,extra low tone,
_B_L, ᷅,Diacritic,low rising tone,
_c,  ̜,Diacritic,less rounded,
_d,  ̪,Diacritic,dental,
_e,  ̴,Diacritic,velarized or pharyngealized; also see 5,
<F>,↘,Diacritic,global fall,
_F,  ̂,Diacritic,falling tone,
_G,ˠ,Diacritic,velarized,
_H,  ́,Diacritic,high tone,
_H_T, ᷄,Diacritic,high rising tone,
_h,ʰ,Diacritic,aspirated,
_j (or '),ʲ,Diacritic,palatalized,
_k,  ̰,Diacritic,creaky voice,
_L,  ̀,Diacritic,low tone,
_l,ˡ,Diacritic,lateral release,
_M,  ̄,Diacritic,mid tone,
_m,  ̻,Diacritic,laminal,
_N,  ̼,Diacritic,linguolabial,
_n,ⁿ,Diacritic,nasal release,
_O,  ̹,Diacritic,more rounded,
_o,  ̞,Diacritic,lowered,
_q,  ̙,Diacritic,retracted tongue root,
<R>,↗,Diacritic,global rise,
_R,  ̌,Diacritic,rising tone,
_R_F, ᷈,Diacritic,rising falling tone,
_r,  ̝,Diacritic,raised,
_T,  ̋,Diacritic,extra high tone,
_t,  ̤,Diacritic,breathy voice,
_v,  ̬,Diacritic,voiced,
_w,ʷ,Diacritic,labialized,
_X,  ̆,Diacritic,extra-short,
_x,  ̽,Diacritic,mid-centralized,
